English,Bengali
This is mine.,এটা আমার।
Tom has died.,টম মারা গেছে।
Tom has time.,টমের হাতে সময় আছে।
Tom is there.,টম ওখানে আছে।
Tom is tired.,টম ক্লান্ত।
Tom listened.,টম শুনলো।
Tom loves me.,টম আমাকে ভালোবাসে।
Tom saw them.,টম তাদের দেখলো।
Tom screamed.,টম চিৎকার করলো।
Tom wants me.,টমের আমাকে চায়।
Tom'll speak.,টম কথা বলবে।
Tom's coming.,টম আসছে।
Tom's crying.,টম কাঁদছে।
Tom's famous.,টম বিখ্যাত।
Tom's strong.,টম শক্তিশালী।
Wait outside.,বাইরে অপেক্ষা করুন।
Was Tom here?,টম কি এখানে ছিলো?
We apologize.,আমরা ক্ষমা চাইছি।
We are Arabs.,আমরা আরব।
We live here.,আমরা এখানে থাকি।
We sat there.,আমরা ওখানে বসেছিলাম।
We'll scream.,আমরা চিৎকার করবো।
We're inside.,আমরা ভেতরে আছি।
What a nerve!,কী সাহস!
Who are they?,ওরা কারা?
Who has come?,কে এসেছে?
Who is there?,কে ওখানে?
Who sent you?,আপনাকে কে পাঠিয়েছে?
Who's hungry?,কার কার খিদে পেয়েছে?
You are rich.,তুমি বড়লোক।
You go first.,তুমি প্রথমে যাও।
You may swim.,সাঁতার কাটতে পারেন।
You sit here.,তুমি এখানে বসো।
A car hit Tom.,একটা গাড়ী টমকে ধাক্কা মারল।
Any questions?,কোন প্রশ্ন আছে?
Anything else?,আর কিছু?
Are you there?,তুমি কি ওখানে আছো?
Call a doctor.,ডাক্তার ডাকো।
Did you speak?,তুমি কথা বললে?
Do come again.,আবার আসবেন কিন্তু।
Don't call me.,আমাকে ডেকো না।
Don't come in.,ভেতরে আসবেন না।
Eat something.,কিছু খান।
Everyone dies.,সবাই মারা যায়।
Flowers bloom.,ফুল ফোটে।
Go over there.,ঐখানে যান।
He looks pale.,তাকে ফ্যাকাসে দেখাচ্ছে।
How old is he?,ওনার বয়স কত?
"Hurry up, Tom.","তারাতারি, টম।"
I am coughing.,আমি কাশছি।
I am sneezing.,আমি হাঁচ্ছি।
I can't do it.,আমি এটা করতে পারব না।
I did my work.,আমি আমার কাজ করলাম।
I exaggerated.,আমি বাড়িয়ে বললাম।
I feel hungry.,আমার খিদে পাচ্ছে।
I have a cold.,আমার ঠান্ডা লেগেছে।
I like apples.,আমি আপেল পছন্দ করি।
I like to eat.,আমি খেতে ভালোবাসি।
I like yellow.,আমি হলুদ রঙ পছন্দ করি।
I love apples.,আমি আপেল ভালোবাসি।
I ran outside.,আমি বাইরে দৌড়ে গেলাম।
I want to cry.,আমি কাঁদতে চাই।
I wanted this.,আমি এটা চেয়েছিলাম।
I was outside.,আমি বাইরে ছিলাম।
I was stunned.,আমি অবাক হয়ে গেছিলাম।
I went aboard.,আমি বাইরে গেছিলাম।
I went inside.,আমি ভেতরে গেলাম।
I'll take him.,আমি ওকে নিয়ে যাবো।
I'm Tom's mom.,আমি টমের মা।
I'm a student.,আমি একজন ছাত্র।
I'm exhausted.,আমি হাঁপিয়ে গেছি।
I'm not proud.,আমি গর্বিত নই।
I've got wine.,আমার কাছে ওয়াইন আছে।
I've returned.,আমি ফিরে এসেছি।
Is that blood?,ওটা কি রক্ত?
It is raining.,বৃষ্টি পড়ছে।
It isn't mine.,এটা আমার নয়।
It's not mine.,এটা আমার নয়।
Just a minute.,এক মিনিট।
Let Tom speak.,টমকে কথা বলতে দাও।
Look at these.,এগুলোর দিকে দেখুন।
My back hurts.,আমার পিঠ ব্যাথা করছে।
My foot hurts.,আমার পা ব্যাথা করছে।
My head aches.,আমার মাথা ব্যাথা করছে।
My knee hurts.,আমার হাঁটু ব্যাথা করছে।
My name's Tom.,আমার নাম টম।
My neck hurts.,আমার ঘাড় ব্যাথা করছে।
"No, thank you.","না, ধন্যবাদ।"
See you later.,আবার পরে দেখা হবে।
See you there.,ওখানে দেখা হবে।
Send me there.,আমাকে ওখানে পাঠান।
She got angry.,সে রেগে গেছিলো।
She is eating.,উনি খাচ্ছেন।
She's my wife.,ও আমার স্ত্রী।
Somebody came.,কেউ একজন এসেছিলেন।
Speak clearly.,পরিষ্কার করে বলুন।
Stop shouting.,চিৎকার করা বন্ধ করো।
Take me there.,আমাকে ওখানে নিয়ে চলুন।
Take us there.,আমাদের ওখানে নিয়ে চলুন।
That's my cat.,ওটা আমার বিড়াল।
They screamed.,তারা চিৎকার করলো।
Tom came here.,টম এখানে এলো।
Tom got angry.,টম রেগে গেছিলো।
Tom hesitated.,টম ইতস্তত করলো।
Tom is coming.,টম আসছে।
Tom is crying.,টম কাঁদছে।
Tom is inside.,টম ভেতরে আছে।
Tom is nearby.,টম কাছাকাছিই আছে।
Tom recovered.,টম সেরে উঠলো।
Tom was there.,টম ওখানে ছিলো।
Tom won't win.,টম জিতবে না।
Tom's elderly.,টম বয়স্ক।
Tom's injured.,টম আহত হয়েছে।
Tom's resting.,টম আরাম করছে।
Tom's strange.,টম অদ্ভুত।
Tom's trapped.,টম আটকে পরেছে।
Tom's wounded.,টম আহত হয়েছে।
Tom's yelling.,টম চিৎকার করছে।
Was Tom there?,টম কি ওখানে ছিলো?
We're doctors.,আমরা ডাক্তার।
We're trapped.,আমরা আটকে পরেছি।
We're winning.,আমরা জিতছি।
What a scream!,কি চিৎকার!
What happened?,কী হোল?
Where are you?,তুমি কোথায়?
Who wants tea?,কার চা চাই?
Whose is this?,এটা কার?
You look sick.,আপনাকে দেখে অসুস্থ বলে মনে হচ্ছে।
You may speak.,তুমি কথা বলতে পারো।
Add more water.,আরো জল দিন।
Allow me to go.,আমাকে যাওয়ার অনুমতি দিন।
Can we keep it?,আমরা কি এটা রাখতে পারি?
Do you hate me?,তুমি কি আমাকে ঘৃণা করো?
Eat everything.,সবকিছুই খান।
Everybody lies.,সবাই মিথ্যা বলে।
Everybody paid.,সবাই টাকা দিলো।
Get some sleep.,একটু ঘুমিয়ে নাও।
Happy New Year!,শুভ নববর্ষ!
Happy birthday!,শুভ জন্মদিন!
He is a doctor.,ইনি একজন ডাক্তার।
How much is it?,এর দাম কত?
How old is Tom?,টমের কত বছর বয়স?
I can beat you.,আমি তোমাকে মারতে পারি।
I don't get it.,আমি বুঝতে পারছি না।
I have a cough.,আমার কাশি হয়েছে।
I like noodles.,আমি নুডলস পছন্দ করি।
I prefer black.,আমি কালো পছন্দ করি।
I said nothing.,আমি কিছুই বলিনি।
I study abroad.,আমি বিদেশে পড়াশুনা করি।
I was coughing.,আমি কাশছিলাম।
I was dreaming.,আমি স্বপ্ন দেখছিলাম।
I wasn't alone.,আমি একলা ছিলাম না।
I went on foot.,আমি পায়ে হেঁটে গেছিলাম।
I'll wait here.,আমি এখানে অপেক্ষা করব।
I'm Tom's wife.,আমি টমের স্ত্রী।
I'm a free man.,আমি একজন স্বাধিন মানুষ।
I'm downstairs.,আমি নীচে আছি।
I'm eating now.,আমি এখন খাচ্ছি।
I'm optimistic.,আমি আশাবাদী।
I'm very tired.,আমি খুব ক্লান্ত।
I've remarried.,আমি আবার বিয়ে করেছি।
Is he American?,উনি কি আমেরিকান?
Is he a doctor?,উনি কি ডাক্তার?
Is this enough?,এটা কি যথেষ্ট?
It was raining.,বৃষ্টি পড়ছিল।
It's hot today.,আজ গরম আছে।
It's well done.,খুব ভালো হয়েছে।
Just sign here.,শুধু এইখানে সই করুন।
Keep Tom there.,টমকে ওখানেই রাখুন।
Leave it there.,ওটা ওখানেই রাখুন।
Let's head out.,বেড়িয়ে পরা যাক।
My joints ache.,আমার গাঁটগুলো ব্যাথা করছে।
My name is Tom.,আমার নাম টম।
My tooth hurts.,আমার দাঁত ব্যাথা করছে।
My wrist hurts.,আমার কব্জি ব্যাথা করছে।
No one knew it.,কেউই এটা জানতো না।
No one laughed.,কেউ হাঁসলো না।
Nobody laughed.,কেউই হাসলো না।
Nobody's there.,ওখানে কেউই নেই।
Pull over here.,এখানে থামান।
Stop gossiping.,পরনিন্দা পরচর্চা করা বন্ধ করুন।
Stop screaming.,চিৎকার করা বন্ধ করো।
That's my wife.,ও আমার স্ত্রী।
That's rubbish.,ওসব ভুলভাল।
They quarreled.,তাঁরা ঝগড়া করছিলেন।
They're inside.,ওনারা ভেতরে আছেন।
This is my bag.,এটা আমার ব্যাগ।
This is my dog.,এটা আমার কুকুর।
Tom apologized.,টম ক্ষমা চাইলো।
Tom is outside.,টম বাইরে আছে।
Tom is wounded.,টম আহত হয়েছে।
Tom is yelling.,টম চিৎকার করছে।
Tom lives here.,টম এখানে থাকে।
Tom pinched me.,টম আমাকে চিমটি কাটলো।
Tom understood.,টম বুঝলো।
Tom was crying.,টম কাঁদছিলো।
Tom was inside.,টম ভেতরে ছিলো।
Tom will speak.,টম কথা বলবে।
Tom works here.,টম এখানে কাজ করে।
Tom's dreaming.,টম স্বপ্ন দেখছে।
Tom's homeless.,টম নিরাশ্রয়।
Turn left here.,এখান থেকে বাঁদিকে নিন।
Was Tom crying?,টম কি কাঁদছিলো?
We are doctors.,আমরা ডাক্তার।
We have failed.,আমরা অসফল হয়েছি।
We have to try.,আমাদের চেষ্টা করতে হবে।
We like coffee.,আমাদের কফি পছন্দ।
We love coffee.,আমরা কফি ভালোবাসি।
Were you there?,তুমি কি ওখানে ছিলে?
What do you do?,তুমি কি কর?
Where's Boston?,বস্টন কোথায়?
Who's speaking?,কে কথা বলছে?
You're welcome.,আপনাকেও ধন্যবাদ।
Anybody will do.,যে কেউ হলেই চলবে।
Are those yours?,ওইগুলো কি তোমার?
Are we prepared?,আমরা কি প্রস্তুত আছি?
Are you sisters?,তোমরা কি বোন?
Are you worried?,তুমি কি চিন্তিত?
Ask again later.,আবার পরে জিজ্ঞাসা করবেন।
Ask me tomorrow.,আমাকে কাল জিজ্ঞাসা করবেন।
Bring it closer.,ওটাকে কাছে নিয়ে আসুন।
Call my husband.,আমার স্বামিকে ডাকুন।
Call the police!,পুলিশ ডাকুন!
Can I try it on?,আমি কি এটা পরে দেখতে পারি?
Can I work here?,আমি কি এখানে কাজ করতে পারি?
Can you breathe?,তুমি কি নিশ্বাস নিতে পারছো?
Close that door.,ওই দরজাটা বন্ধ করুন।
Come towards me.,আমার দিকে আসুন।
Count to thirty.,তিরিশ অবধি গুনুন।
Do you eat meat?,তুমি কি মাংস খাও?
Doesn't it work?,এটা কাজ করে না?
Don't open that.,ওটা খুলবেন না।
Don't stop here.,এখানে থামবেন না।
Drive carefully.,সাবধানে গাড়ি চালান।
Everyone agrees.,সবাই একমত।
Everyone saw it.,সবাই এটা দেখেছিলো।
Everyone's here.,সবাই এখানে আছেন।
Give Tom a kiss.,টমকে একটা চুমু দিন।
Go back outside.,ভেতরে ফিরে যান।
Go wait outside.,বাইরে গিয়ে অপেক্ষা করো।
He was speaking.,সে কথা বলছিলো।
Here's the bill.,এই নিন বিলটা।
Here's the file.,এই যে ফাইলটা।
Here's your key.,এই নাও তোমার চাবি।
Here's your mug.,এই নাও তোমার মগ।
Hold the candle.,মোমবাতিটা ধরুন।
How old are you?,তোমার বয়স কত?
How old is that?,ওটার বয়স কত?
How old is this?,এটার বয়স কত?
I am very tired.,আমি খুব ক্লান্ত।
I booked a seat.,আমি একটা আসন সংরক্ষণ করলাম।
I can manage it.,আমি এটা সামলে নিতে পারি।
I caught a cold.,আমি ঠান্ডা লাগিয়ে ফেলেছি।
I could've died.,আমি মরে যেতে পারতাম।
I couldn't walk.,আমি হাঁটতে পারিনি।
I deserved that.,আমার সেটাই প্রাপ্য ছিলো।
I didn't forget.,আমি ভুলিনি।
I didn't listen.,আমি শুনিনি।
I didn't notice.,আমি লক্ষ্য করিনি।
I didn't see it.,ওটা দেখিনি।
I do understand.,আমি বুঝি।
I don't deny it.,আমি এটা অস্বীকার করি না।
I found my book.,আমি আমার বইটি পেয়েছি।
I have evidence.,আমার কাছে প্রমাণ আছে।
I have returned.,আমি ফিরে এসেছি।
I haven't eaten.,আমি খাইনি।
I haven't slept.,আমি ঘুমাইনি।
I haven't tried.,আমি চেষ্টা করিনি।
I just got home.,আমি সবে বাড়ি পৌছালাম।
I like football.,আমি ফুটবল পছন্দ করি।
I live in Japan.,আমি জাপানে থাকি।
I love football.,আমি ফুটবল ভালোবাসি।
"I love you, too.",আমিও তোমাকে ভালোবাসি।
I need evidence.,আমার প্রমাণ দরকার।
